time(ms), dt, force, posX, rawPosX, posXDeg, velX (rad/s)
801, 4, 0, 7, 8198, 0.357077, 0.000000
803, 2, 0, 7, 8198, 0.357077, 0.000000
805, 2, 0, 7, 8198, 0.357077, 0.000000
807, 2, 0, 7, 8198, 0.357077, 0.000000
809, 2, 0, 7, 8198, 0.357077, 0.000000
810, 1, 0, 7, 8198, 0.357077, 0.000000
812, 2, 0, 7, 8198, 0.357077, 0.000000
814, 2, 0, 7, 8198, 0.357077, 0.000000
816, 2, 0, 7, 8198, 0.357077, 0.000000
818, 2, 0, 7, 8198, 0.357077, 0.000000
819, 1, 0, 7, 8198, 0.357077, 0.000000
821, 2, 0, 7, 8198, 0.357077, 0.000000
823, 2, 0, 7, 8198, 0.357077, 0.000000
828, 5, 0, 7, 8198, 0.357077, 0.000000
830, 2, 0, 7, 8198, 0.357077, 0.000000
831, 1, 0, 7, 8198, 0.357077, 0.000000
833, 2, 0, 7, 8198, 0.357077, 0.000000
835, 2, 0, 7, 8198, 0.357077, 0.000000
837, 2, 0, 7, 8198, 0.357077, 0.000000
838, 1, 0, 7, 8198, 0.357077, 0.000000
840, 2, 0, 7, 8198, 0.357077, 0.000000
842, 2, 0, 7, 8198, 0.357077, 0.000000
844, 2, 0, 7, 8198, 0.357077, 0.000000
846, 2, 0, 7, 8198, 0.357077, 0.000000
847, 1, 0, 7, 8198, 0.357077, 0.000000
849, 2, 0, 7, 8198, 0.357077, 0.000000
851, 2, 0, 7, 8198, 0.357077, 0.000000
853, 2, 0, 7, 8198, 0.357077, 0.000000
854, 1, 0, 7, 8198, 0.357077, 0.000000
856, 2, 0, 7, 8198, 0.357077, 0.000000
858, 2, 0, 7, 8198, 0.357077, 0.000000
861, 3, 0, 7, 8198, 0.357077, 0.000000
863, 2, 0, 7, 8198, 0.357077, 0.000000
865, 2, 0, 7, 8198, 0.357077, 0.000000
867, 2, 0, 7, 8198, 0.357077, 0.000000
869, 2, 0, 7, 8198, 0.357077, 0.000000
870, 1, 0, 7, 8198, 0.357077, 0.000000
872, 2, 0, 7, 8198, 0.357077, 0.000000
874, 2, 0, 7, 8198, 0.357077, 0.000000
876, 2, 0, 7, 8198, 0.357077, 0.000000
881, 5, 0, 7, 8198, 0.357077, 0.000000
883, 2, 0, 7, 8198, 0.357077, 0.000000
884, 1, 0, 7, 8198, 0.357077, 0.000000
886, 2, 0, 7, 8198, 0.357077, 0.000000
888, 2, 0, 7, 8198, 0.357077, 0.000000
890, 2, 0, 7, 8198, 0.357077, 0.000000
892, 2, 0, 7, 8198, 0.357077, 0.000000
893, 1, 0, 7, 8198, 0.357077, 0.000000
895, 2, 0, 7, 8198, 0.357077, 0.000000
897, 2, 0, 7, 8198, 0.357077, 0.000000
899, 2, 0, 7, 8198, 0.357077, 0.000000
901, 2, -10000, 7, 8198, 0.357077, 0.000000
902, 1, -10000, 7, 8198, 0.357077, 0.000000
907, 5, -10000, 7, 8198, 0.357077, 0.000000
909, 2, -10000, 7, 8198, 0.357077, 0.000000
911, 2, -10000, 7, 8198, 0.357077, 0.000000
913, 2, -10000, 7, 8198, 0.357077, 0.000000
914, 1, -10000, 5, 8196, 0.247207, -1.917593
916, 2, -10000, 1, 8193, 0.082402, -1.438195
918, 2, -10000, -4, 8188, -0.192272, -2.396991
920, 2, -10000, -9, 8184, -0.412012, -1.917593
922, 2, -10000, -9, 8184, -0.412012, 0.000000
923, 1, -10000, -16, 8178, -0.741622, -5.752779
925, 2, -10000, -23, 8172, -1.071232, -2.876390
927, 2, -10000, -29, 8167, -1.345907, -2.396991
929, 2, -10000, -34, 8163, -1.565647, -1.917593
931, 2, -10000, -40, 8158, -1.840322, -2.396991
932, 1, -10000, -44, 8155, -2.005127, -2.876390
934, 2, -10000, -48, 8152, -2.169932, -1.438195
936, 2, -10000, -50, 8150, -2.279802, -0.958796
938, 2, -10000, -54, 8147, -2.444607, -1.438195
940, 2, -10000, -54, 8147, -2.444607, 0.000000
941, 1, -10000, -54, 8147, -2.444607, 0.000000
943, 2, -10000, -57, 8144, -2.609412, -1.438195
945, 2, -10000, -59, 8143, -2.664347, -0.479398
947, 2, -10000, -62, 8140, -2.829152, -1.438195
949, 2, -10000, -66, 8137, -2.993957, -1.438195
950, 1, -10000, -70, 8134, -3.158762, -2.876390
952, 2, -10000, -76, 8129, -3.433437, -2.396991
954, 2, -10000, -82, 8124, -3.708112, -2.396991
956, 2, -10000, -82, 8124, -3.708112, 0.000000
958, 2, -10000, -89, 8118, -4.037722, -2.876390
959, 1, -10000, -94, 8114, -4.257462, -3.835186
961, 2, -10000, -104, 8106, -4.696942, -3.835186
963, 2, -10000, -111, 8100, -5.026552, -2.876390
965, 2, -10000, -111, 8100, -5.026552, 0.000000
966, 1, -10000, -128, 8086, -5.795642, -13.423151
968, 2, -10000, -136, 8080, -6.125252, -2.876390
970, 2, -10000, -144, 8073, -6.509797, -3.355788
974, 4, -10000, -164, 8057, -7.388757, -3.835186
976, 2, -10000, -171, 8051, -7.718367, -2.876390
978, 2, -10000, -171, 8051, -7.718367, 0.000000
979, 1, -10000, -180, 8044, -8.102912, -6.711576
981, 2, -10000, -187, 8038, -8.432522, -2.876390
983, 2, -10000, -197, 8030, -8.872002, -3.835186
985, 2, -10000, -206, 8022, -9.311481, -3.835186
987, 2, -10000, -215, 8015, -9.696027, -3.355788
988, 1, -10000, -225, 8007, -10.135507, -7.670372
990, 2, -10000, -236, 7998, -10.629921, -4.314584
992, 2, -10000, -245, 7990, -11.069401, -3.835186
994, 2, -10000, -256, 7981, -11.563816, -4.314584
996, 2, -10000, -256, 7981, -11.563816, 0.000000
997, 1, -10000, -265, 7974, -11.948361, -6.711576
999, 2, -10000, -277, 7964, -12.497711, -4.793983
1001, 2, -10000, -289, 7954, -13.047061, -4.793983
1003, 2, -10000, -300, 7945, -13.541476, -4.314584
1005, 2, -10000, -311, 7936, -14.035891, -4.314584
1006, 1, -10000, -324, 7926, -14.585240, -9.587965
1008, 2, -10000, -335, 7917, -15.079656, -4.314584
1010, 2, -10000, -346, 7908, -15.574071, -4.314584
1012, 2, -10000, -346, 7908, -15.574071, 0.000000
1014, 2, -10000, -357, 7899, -16.068485, -4.314584
1015, 1, -10000, -370, 7888, -16.672771, -10.546762
1017, 2, -10000, -381, 7879, -17.167185, -4.314584
1019, 2, -10000, -394, 7868, -17.771471, -5.273381
1021, 2, -10000, -407, 7858, -18.320820, -4.793983
1023, 2, -10000, -418, 7849, -18.815235, -4.314584
1025, 2, -10000, -431, 7838, -19.419519, -5.273381
1027, 2, -10000, -444, 7827, -20.023806, -5.273381
1029, 2, -10000, -457, 7817, -20.573154, -4.793983
1031, 2, -10000, -470, 7806, -21.177441, -5.273381
1033, 2, -10000, -484, 7795, -21.781725, -5.273381
1035, 2, -10000, -496, 7785, -22.331076, -4.793983
1037, 2, -10000, -512, 7772, -23.045229, -6.232177
1039, 2, -10000, -524, 7762, -23.594580, -4.793983
1041, 2, -10000, -538, 7750, -24.253799, -5.752779
1043, 2, -10000, -552, 7739, -24.858084, -5.273381
1045, 2, -10000, -567, 7727, -25.517305, -5.752779
1047, 2, -10000, -580, 7716, -26.121590, -5.273381
1049, 2, -10000, -595, 7704, -26.780809, -5.752779
1051, 2, -10000, -609, 7692, -27.440029, -5.752779
1052, 1, -10000, -624, 7680, -28.099249, -11.505558
1054, 2, -10000, -637, 7669, -28.703535, -5.273381
1056, 2, -10000, -654, 7655, -29.472624, -6.711576
1058, 2, -10000, -669, 7643, -30.131844, -5.752779
1060, 2, -10000, -684, 7631, -30.791063, -5.752779
1063, 3, -10000, -684, 7631, -30.791063, 0.000000
1067, 4, -10000, -730, 7593, -32.878593, -9.108566
1069, 2, -10000, -746, 7580, -33.592747, -6.232177
1071, 2, -10000, -761, 7568, -34.251968, -5.752779
1073, 2, -10000, -775, 7556, -34.911190, -5.752779
1075, 2, -10000, -790, 7544, -35.570408, -5.752779
1076, 1, -10000, -790, 7544, -35.570408, 0.000000
1078, 2, -10000, -805, 7532, -36.229630, -5.752779
1079, 1, -10000, -819, 7520, -36.888847, -11.505558
1080, 1, -10000, -835, 7507, -37.603004, -12.464354
1082, 2, -10000, -851, 7494, -38.317158, -6.232177
1084, 2, -10000, -868, 7480, -39.086246, -6.711576
1086, 2, -10000, -883, 7468, -39.745468, -5.752779
1088, 2, -10000, -883, 7468, -39.745468, 0.000000
1089, 1, -10000, -900, 7454, -40.514557, -13.423151
1091, 2, -10000, -914, 7442, -41.173779, -5.752779
1093, 2, -10000, -932, 7428, -41.942867, -6.711576
1095, 2, -10000, -949, 7414, -42.711956, -6.711576
1097, 2, -10000, -965, 7401, -43.426113, -6.232177
1098, 1, -10000, -982, 7387, -44.195202, -13.423151
1100, 2, -10000, -999, 7373, -44.964291, -6.711576
1102, 2, -10000, -1013, 7361, -45.623512, -5.752779
